{n:2:k},0.0344364,7.98442e-05,0.0368947,0.000364991
{n:4:k},0.0260354,0.000201014,0.0256289,8.57999e-05
{n:8:k},0.0207091,0.000456061,0.0210962,0.000785644
{n:32:k},0.0147497,0.00109129,0.0164725,0.000841465
{n:64:k},0.0144767,0.000879269,0.0160682,0.000975874
{n:100:k},0.015584,0.00305554,0.0173915,0.00185764
{n:2:2:k},0.0312864,0.000845782,0.0327105,0.000880303
{n:4:4:k},0.0233895,0.00188424,0.0235673,0.00161157
{n:8:8:k},0.0164418,0.00372152,0.0173304,0.00314233
{n:32:32:k},0.00844623,0.00174372,0.0105212,0.00226277
{n:64:64:k},0.00561614,0.00144218,0.00792597,0.0017131
{n:100:100:k},0.00373842,0.000896492,0.00569479,0.0012525
