Id,Category
0,1
1,0
2,4
3,0
4,0
5,0
6,0
7,4
8,1
9,0
10,1
11,3
12,0
13,0
14,0
15,0
16,0
17,2
18,0
19,0
20,2
21,2
22,1
23,4
24,0
25,0
26,0
27,0
28,2
29,0
30,0
31,0
32,0
33,0
34,4
35,0
36,0
37,0
38,2
39,0
40,0
41,0
42,0
43,0
44,3
45,0
46,1
47,0
48,0
49,3
50,0
51,0
52,3
53,0
54,0
55,1
56,0
57,0
58,0
59,2
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,5
72,0
73,2
74,2
75,0
76,0
77,5
78,4
79,0
80,2
81,1
82,2
83,1
84,1
85,1
86,0
87,5
88,0
89,5
90,5
91,2
92,0
93,4
94,0
95,3
96,0
97,0
98,5
99,0
100,0
101,2
102,2
103,2
104,3
105,0
106,1
107,1
108,4
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,2
117,0
118,4
119,2
120,0
121,0
122,0
123,0
124,1
125,0
126,4
127,0
128,0
129,2
130,0
131,1
132,2
133,0
134,0
135,0
136,0
137,2
138,0
139,0
140,0
141,1
142,2
143,0
144,0
145,2
146,0
147,0
148,0
149,3
150,0
151,0
152,0
153,0
154,2
155,0
156,0
157,0
158,1
159,0
160,4
161,0
162,0
163,0
164,4
165,1
166,1
167,4
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,2
188,1
189,0
190,2
191,0
192,0
193,0
194,0
195,0
196,0
197,2
198,5
199,0
200,0
201,0
202,4
203,1
204,2
205,3
206,0
207,0
208,0
209,2
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,4
218,0
219,0
220,3
221,0
222,5
223,0
224,0
225,2
226,0
227,2
228,1
229,0
230,1
231,2
232,0
233,0
234,3
235,0
236,1
237,0
238,0
239,3
240,0
241,0
242,1
243,0
244,1
245,0
246,2
247,2
248,0
249,0
250,2
251,0
252,5
253,0
254,0
255,0
256,0
257,0
258,0
259,2
260,2
261,1
262,0
263,1
264,4
265,0
266,1
267,0
268,0
269,0
270,0
271,2
272,0
273,0
274,0
275,5
276,0
277,0
278,4
279,1
280,0
281,3
282,1
283,4
284,0
285,0
286,0
287,0
288,0
289,0
290,2
291,5
292,0
293,4
294,5
295,4
296,1
297,1
298,2
299,0
300,1
301,2
302,3
303,2
304,1
305,2
306,0
307,2
308,0
309,0
310,0
311,0
312,0
313,2
314,0
315,5
316,0
317,0
318,0
319,1
320,1
321,2
322,2
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,0
333,2
334,3
335,0
336,0
337,0
338,0
339,0
340,4
341,0
342,3
343,2
344,0
345,0
346,0
347,1
348,0
349,4
350,0
351,0
352,4
353,0
354,2
355,5
356,5
357,1
358,2
359,3
360,0
361,0
362,2
363,2
364,3
365,1
366,3
367,4
368,3
369,0
370,0
371,2
372,0
373,0
374,0
375,3
376,0
377,0
378,0
379,3
380,1
381,2
382,0
383,2
384,0
385,0
386,2
387,0
388,2
389,0
390,0
391,0
392,4
393,1
394,4
395,0
396,0
397,0
398,0
399,3
400,1
401,0
402,1
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,4
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,2
423,0
424,0
425,4
426,0
427,0
428,4
429,0
430,0
431,5
432,0
433,0
434,1
435,0
436,0
437,1
438,1
439,0
440,0
441,0
442,2
443,5
444,0
445,0
446,4
447,0
448,0
449,1
450,0
451,2
452,5
453,0
454,0
455,0
456,0
457,0
458,4
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,2
469,0
470,2
471,5
472,2
473,0
474,2
475,0
476,0
477,2
478,5
479,0
480,5
481,2
482,0
483,2
484,0
485,0
486,0
487,0
488,0
489,2
490,1
491,0
492,0
493,3
494,5
495,0
496,0
497,0
498,2
499,4
500,0
501,0
502,1
503,0
504,3
505,0
506,2
507,3
508,0
509,5
510,0
511,0
512,4
513,0
514,0
515,0
516,0
517,0
518,4
519,0
520,0
521,2
522,2
523,0
524,4
525,5
526,1
527,1
528,2
529,0
530,2
531,0
532,0
533,1
534,0
535,4
536,0
537,2
538,0
539,0
540,2
541,2
542,4
543,0
544,0
545,3
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,5
558,5
559,2
560,2
561,1
562,2
563,0
564,1
565,1
566,0
567,0
568,1
569,0
570,0
571,1
572,1
573,1
574,0
575,5
576,0
577,0
578,2
579,1
580,2
581,0
582,4
583,0
584,3
585,5
586,0
587,0
588,0
589,0
590,4
591,0
592,2
593,0
594,0
595,0
596,4
597,5
598,0
599,4
600,0
601,0
602,0
603,1
604,4
605,4
606,0
607,0
608,4
609,0
610,0
611,4
612,4
613,1
614,0
615,0
616,1
617,2
618,0
619,1
620,1
621,0
622,0
623,0
624,0
625,2
626,0
627,0
628,2
629,5
630,0
631,2
632,0
633,1
634,0
635,0
636,0
637,2
638,0
639,0
640,0
641,0
642,4
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,2
652,0
653,0
654,0
655,5
656,0
657,0
658,0
659,2
660,0
661,2
662,2
663,0
664,1
665,0
666,0
667,5
668,0
669,2
670,3
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,5
682,1
683,0
684,1
685,5
686,2
687,2
688,0
689,0
690,1
691,0
692,1
693,0
694,0
695,0
696,3
697,0
698,0
699,0
700,0
701,1
702,2
703,3
704,0
705,0
706,2
707,0
708,0
709,0
710,2
711,4
712,5
713,0
714,4
715,0
716,0
717,4
718,1
719,2
720,0
721,0
722,0
723,3
724,2
725,2
726,2
727,0
728,0
729,5
730,0
731,0
732,5
733,2
734,0
735,1
736,1
737,0
738,0
739,0
740,2
741,0
742,4
743,0
744,2
745,0
746,0
747,0
748,1
749,4
750,0
751,0
752,3
753,0
754,0
755,0
756,0
757,0
758,2
759,2
760,1
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,2
773,0
774,0
775,3
776,5
777,2
778,0
779,2
780,0
781,4
782,0
783,0
784,0
785,0
786,4
787,4
788,0
789,3
790,1
791,3
792,2
793,2
794,0
795,4
796,0
797,0
798,0
799,0
800,1
801,1
802,0
803,2
804,2
805,4
806,0
807,0
808,5
809,0
810,0
811,0
812,0
813,2
814,0
815,2
816,0
817,0
818,0
819,0
820,0
821,0
822,4
823,1
824,5
825,0
826,5
827,0
828,5
829,1
830,4
831,0
832,0
833,0
834,0
835,0
836,3
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,4
845,0
846,0
847,3
848,5
849,0
850,4
851,0
852,0
853,0
854,0
855,2
856,0
857,0
858,1
859,0
860,0
861,2
862,0
863,3
864,2
865,0
866,0
867,4
868,0
869,3
870,0
871,0
872,0
873,2
874,2
875,4
876,1
877,0
878,1
879,0
880,0
881,0
882,2
883,0
884,5
885,4
886,0
887,4
888,0
889,3
890,1
891,5
892,0
893,0
894,0
895,0
896,0
897,2
898,5
899,2
900,4
901,4
902,2
903,0
904,1
905,5
906,0
907,0
908,1
909,0
910,0
911,1
912,3
913,0
914,1
915,0
916,0
917,2
918,0
919,2
920,2
921,0
922,0
923,0
924,0
925,1
926,0
927,0
928,0
929,5
930,0
931,0
932,5
933,0
934,0
935,5
936,0
937,0
938,0
939,0
940,0
941,0
942,3
943,2
944,0
945,0
946,0
947,2
948,0
949,0
950,0
951,4
952,4
953,5
954,5
955,0
956,5
957,0
958,0
959,0
960,0
961,4
962,0
963,2
964,1
965,0
966,0
967,0
968,1
969,0
970,0
971,0
972,0
973,1
974,0
975,0
976,2
977,2
978,2
979,4
980,4
981,0
982,4
983,0
984,0
985,1
986,4
987,1
988,0
989,0
990,4
991,0
992,3
993,2
994,0
995,2
996,0
997,5
998,0
999,2
1000,0
1001,0
1002,0
1003,0
1004,0
1005,1
1006,2
1007,5
1008,2
1009,3
1010,0
1011,1
1012,3
1013,0
1014,4
1015,0
1016,1
1017,2
1018,0
1019,0
1020,2
1021,3
1022,0
1023,3
1024,4
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,2
1032,0
1033,0
1034,0
1035,4
1036,1
1037,0
1038,2
1039,2
1040,0
1041,2
1042,0
1043,0
1044,0
1045,0
1046,4
1047,3
1048,1
1049,0
1050,0
1051,0
1052,2
1053,0
1054,4
1055,4
1056,0
1057,0
1058,0
1059,2
1060,2
1061,0
1062,0
1063,2
1064,1
1065,1
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,2
1073,2
1074,0
1075,0
1076,3
1077,0
1078,1
1079,5
1080,2
1081,1
1082,0
1083,1
1084,0
1085,0
1086,0
1087,0
1088,4
1089,3
1090,1
1091,3
1092,1
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,5
1101,0
1102,0
1103,0
1104,0
1105,4
1106,4
1107,0
1108,0
1109,3
1110,2
1111,1
1112,0
1113,5
1114,0
1115,2
1116,0
1117,2
1118,0
1119,0
1120,3
1121,2
1122,0
1123,0
1124,0
1125,0
1126,2
1127,2
1128,5
1129,0
1130,0
1131,3
1132,5
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,4
1143,0
1144,4
1145,0
1146,0
1147,0
1148,1
1149,4
1150,0
1151,0
1152,4
1153,0
1154,0
1155,0
1156,0
1157,4
1158,0
1159,0
1160,0
1161,4
1162,0
1163,2
1164,0
1165,1
1166,0
1167,0
1168,0
1169,4
1170,2
1171,0
1172,0
1173,0
1174,0
1175,4
1176,1
1177,0
1178,0
1179,2
1180,0
1181,1
1182,1
1183,1
1184,0
1185,4
1186,0
1187,2
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,2
1195,5
1196,2
1197,3
1198,0
1199,0
1200,0
1201,4
1202,1
1203,0
1204,0
1205,0
1206,2
1207,0
1208,2
1209,3
1210,0
1211,0
1212,0
1213,4
1214,1
1215,0
1216,0
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
