Id,Predicted
0,0.315809
1,0.073221
2,0.0584918
3,0.0131486
4,0.00894105
5,0.0181132
6,0.0205277
7,0.119065
8,0.0226581
9,0.531541
10,0.0122665
11,0.0319479
12,0.0251438
13,0.0165116
14,0.107679
15,0.0277051
16,0.152814
17,0.0177017
18,0.0165588
19,0.0170292
20,0.010355
21,0.018553
22,0.0266466
23,0.0142265
24,0.0205508
25,0.059649
26,0.0491444
27,0.0680247
28,0.00940487
29,0.0302076
30,0.0118716
31,0.0768871
32,0.0568207
33,0.0561798
34,0.00844188
35,0.0681421
36,0.268648
37,0.0244026
38,0.00842695
39,0.0224783
40,0.0112452
41,0.0347561
42,0.0829107
43,0.0525201
44,0.0535972
45,0.0142794
46,0.0541591
47,0.0187666
48,0.016249
49,0.534346
50,0.0180781
51,0.0172688
52,0.269595
53,0.0408018
54,0.0119035
55,0.0159421
56,0.0171925
57,0.0131887
58,0.0176472
59,0.0784731
60,0.0885383
61,0.0131116
62,0.225243
63,0.280772
64,0.733175
65,0.0113969
66,0.0206701
67,0.0252014
68,0.0208741
69,0.0700397
70,0.110416
71,0.0492027
72,0.00816698
73,0.0151399
74,0.279972
75,0.0120167
76,0.0636261
77,0.0191767
78,0.136213
79,0.00593609
80,0.0126064
81,0.0633355
82,0.0158823
83,0.249074
84,0.0186092
85,0.166961
86,0.0720494
87,0.345457
88,0.0116916
89,0.0185276
90,0.298037
91,0.300783
92,0.0171976
93,0.135705
94,0.146127
95,0.146313
96,0.0236182
97,0.0118582
98,0.220099
99,0.0216386
100,0.0567412
101,0.0102505
102,0.0149193
103,0.0191787
104,0.0139835
105,0.0788872
106,0.0199284
107,0.720786
108,0.0263973
109,0.0674578
110,0.0065413
111,0.0125169
112,0.0637683
113,0.0162229
114,0.00795436
115,0.164959
116,0.0229916
117,0.029775
118,0.315921
119,0.0205727
120,0.0246594
121,0.0286299
122,0.0143422
123,0.167083
124,0.14804
125,0.0168938
126,0.0206187
127,0.407393
128,0.0213827
129,0.0270578
130,0.0638746
131,0.0332425
132,0.0621403
133,0.170515
134,0.0447293
135,0.013999
136,0.021624
137,0.0125956
138,0.0101648
139,0.0212969
140,0.262484
141,0.0613161
142,0.0122164
143,0.25632
144,0.0829992
145,0.00703901
146,0.546183
147,0.231861
148,0.0184746
149,0.0796354
150,0.190726
151,0.0224597
152,0.0349809
153,0.172182
154,0.0273778
155,0.139367
156,0.304964
157,0.0175729
158,0.0136643
159,0.0231561
160,0.0664053
161,0.0173525
162,0.0193366
163,0.053645
164,0.0400804
165,0.0190416
166,0.00931873
167,0.0241502
168,0.0184925
169,0.0217733
170,0.148563
171,0.0374614
172,0.0218638
173,0.0179578
174,0.0646295
