183,0,0
185,0,0
191,0,0
350,0,0
365,0,0
441,0,0
484,0,0
541,0,0
542,0,0
580,0,0
706,0,0
859,0,0
32,1,0
477,1,0
492,1,0
621,1,0
677,1,0
702,1,0
709,1,0
730,1,0
766,1,0
805,1,0
824,1,0
825,1,0
846,1,0
869,1,0
40,2,0
45,2,0
132,2,0
217,2,0
463,2,0
486,2,0
563,2,0
616,2,0
692,2,0
703,2,0
732,2,0
739,2,0
756,2,0
820,2,0
871,2,0
881,2,0
20,3,0
53,3,0
81,3,0
91,3,0
182,3,0
199,3,0
267,3,0
270,3,0
282,3,0
289,3,0
291,3,0
364,3,0
411,3,0
644,3,0
734,3,0
823,3,0
144,4,0
169,4,0
313,4,0
316,4,0
331,4,0
368,4,0
472,4,0
478,4,0
894,4,0
292,5,0
345,5,0
716,5,0
719,5,0
