Id,Predicted
0,0.354679
1,0.0253922
2,0.0688065
3,0.147392
4,0.0692388
5,0.373819
6,0.0099988
7,0.0121783
8,0.0521044
9,0.0771723
10,0.0095831
11,0.00945538
12,0.0225271
13,0.00927954
14,0.0174789
15,0.0115382
16,0.015938
17,0.0121932
18,0.0105412
19,0.155872
20,0.0434414
21,0.0202182
22,0.0428997
23,0.180966
24,0.186053
25,0.0156529
26,0.0185279
27,0.29704
28,0.0197435
29,0.0199419
30,0.0150453
31,0.103117
32,0.0200589
33,0.0678287
34,0.0111843
35,0.018356
36,0.0151713
37,0.0112031
38,0.212457
39,0.0155522
40,0.0661802
41,0.0670398
42,0.00807728
43,0.0157499
44,0.023457
45,0.0530878
46,0.0598382
47,0.0510976
48,0.011985
49,0.0819302
50,0.207591
51,0.0105412
52,0.0115055
53,0.0611713
54,0.0113348
55,0.0742585
56,0.0142894
57,0.0161705
58,0.0420918
59,0.0176857
60,0.0307703
61,0.0894084
62,0.0318086
63,0.501229
64,0.00737051
65,0.015917
66,0.185075
67,0.0957738
68,0.0490813
69,0.0266609
70,0.0294912
71,0.0102761
72,0.0871542
73,0.0374608
74,0.0226473
75,0.0665888
76,0.205725
77,0.0184682
78,0.0578897
79,0.0100379
80,0.0544688
81,0.260499
82,0.016922
83,0.0728362
84,0.00905335
85,0.291751
86,0.0121456
87,0.00973528
88,0.0148949
89,0.0180111
90,0.217554
91,0.227886
92,0.0490899
93,0.0158851
94,0.0728301
95,0.0142974
96,0.0981822
97,0.0205203
98,0.0081599
99,0.0092532
100,0.0110403
101,0.0154724
102,0.359268
103,0.203344
104,0.0154768
105,0.0159837
106,0.0144967
107,0.103557
108,0.0937308
109,0.0532843
110,0.0150724
111,0.0120793
112,0.0173869
113,0.0455971
114,0.150076
115,0.00968085
116,0.0295043
117,0.0118758
118,0.0930279
119,0.159256
120,0.0952008
121,0.0101355
122,0.0197946
123,0.155606
124,0.198505
125,0.0167967
126,0.0117667
127,0.743732
128,0.0168942
129,0.014962
130,0.745889
131,0.0569442
132,0.0734457
133,0.0269405
134,0.0141628
135,0.0119356
136,0.0670781
137,0.0292418
138,0.0255692
139,0.0192943
140,0.0209737
141,0.190339
142,0.0123205
143,0.0126221
144,0.0531041
145,0.0118202
146,0.0220814
147,0.0325099
148,0.00924575
149,0.0759032
150,0.0153639
151,0.0143393
152,0.0434111
153,0.153157
154,0.0137499
155,0.0119661
156,0.0197065
157,0.0811547
158,0.0475177
159,0.0290688
160,0.0120871
161,0.00941966
162,0.0173719
163,0.0196108
164,0.00991086
165,0.222652
166,0.0683829
167,0.0136547
168,0.0224491
169,0.0169405
170,0.0160587
171,0.0193076
172,0.0232374
173,0.197003
174,0.0114237
175,0.0125284
176,0.0170422
177,0.0926036
178,0.0156486
179,0.0106956
180,0.0129786
181,0.0205933
182,0.0163556
183,0.0518805
184,0.0277411
185,0.0146731
