14 1 4000
0.125 0.25 1 0.25 0.25 0.25 0.25 1 0.125 0.125 1.0 1.0 0.0 0.0 0.0235801855
0.5 1 0.5 0.25 1 1 1 0.25 0.125 0.125 0.0 1.0 1.0 0.0 0.0073521878
0.25 0.125 0.5 0.25 0.5 0.5 0.25 0.25 0.125 0.125 1.0 0.0 1.0 1.0 0.0208605755
0.5 0.125 0.5 0.5 0.25 0.25 0.25 1 0.5 0.125 0.0 1.0 0.0 0.0 0.0220791818
1 1 0.5 1 0.5 1 1 0.25 0.125 0.125 0.0 1.0 1.0 1.0 0.0075664196
0.5 0.125 1 0.25 0.25 0.5 0.25 1 0.25 0.25 1.0 0.0 0.0 0.0 0.012487542
0.5 1 1 1 0.25 0.5 0.25 1 0.125 0.125 1.0 1.0 0.0 1.0 0.0134220895
0.125 1 1 0.25 0.25 0.25 0.5 0.25 0.125 0.125 0.0 1.0 0.0 0.0 0.017445922
0.5 0.5 1 0.5 0.25 0.5 0.5 1 0.25 0.125 1.0 0.0 0.0 1.0 0.0105501411
1 0.125 0.5 1 0.25 0.5 0.5 0.25 0.125 0.125 0.0 0.0 1.0 0.0 0.0343360832
0.25 0.25 1 0.25 0.25 0.5 0.5 1 0.125 0.125 0.0 1.0 1.0 1.0 0.0159028319
0.25 1 0.5 0.5 1 1 1 0.25 0.125 0.125 0.0 1.0 0.0 1.0 0.0151390489
1 0.25 1 0.25 0.25 0.5 0.25 1 0.25 0.25 1.0 1.0 1.0 0.0 0.0724910814
0.125 0.125 1 0.5 0.25 0.25 0.25 0.25 0.125 0.25 0.0 0.0 0.0 0.0 0.0335316254
1 0.25 1 0.25 0.25 1 0.5 0.25 0.25 0.125 0.0 1.0 1.0 0.0 0.1222934355
0.5 0.5 0.5 0.25 0.25 1 0.25 0.25 0.25 0.5 1.0 1.0 0.0 1.0 0.0825613447
0.5 0.5 0.5 0.5 0.25 0.25 0.5 0.25 0.5 0.125 0.0 0.0 1.0 0.0 0.0100067995
0.5 0.5 0.5 0.25 0.25 0.25 0.5 1 0.25 0.25 0.0 1.0 0.0 0.0 0.0906945768
1 1 1 0.25 0.25 0.5 0.5 0.25 0.25 0.125 0.0 0.0 1.0 0.0 0.5595859427
1 0.125 0.5 0.25 0.25 0.25 0.25 1 0.25 0.125 0.0 0.0 0.0 1.0 0.0245683539
1 0.25 1 0.25 0.5 1 1 0.25 0.125 0.125 1.0 0.0 0.0 1.0 0.0151732018
0.25 1 0.5 0.25 0.25 0.5 0.25 0.25 0.125 0.5 1.0 0.0 0.0 1.0 0.0580756457
0.5 0.5 1 0.5 0.5 0.25 0.25 1 0.25 0.5 1.0 0.0 0.0 1.0 0.0087462471
0.25 0.5 1 0.5 1 0.5 0.5 1 0.25 0.25 0.0 1.0 1.0 1.0 0.0089977366
0.125 1 0.5 0.5 0.25 0.5 0.25 1 0.125 0.125 1.0 0.0 1.0 1.0 0.0315107069
1 0.5 0.5 0.25 0.25 1 0.25 1 0.125 1 0.0 1.0 0.0 0.0 0.1393815496
1 0.25 1 0.5 0.5 0.5 0.25 0.25 0.25 0.25 1.0 0.0 1.0 0.0 0.0175732192
1 0.5 0.5 0.5 0.25 0.25 1 0.25 0.25 0.125 0.0 1.0 0.0 0.0 0.1038025428
0.5 1 1 0.5 0.5 0.25 0.5 0.25 0.5 1 1.0 0.0 1.0 1.0 0.0140772042
0.5 1 0.5 1 0.25 0.5 1 0.25 0.125 0.5 1.0 1.0 0.0 0.0 0.0153384779
1 1 0.5 1 0.25 1 0.5 0.25 0.125 1 0.0 1.0 0.0 1.0 0.0725393054
0.5 0.5 0.5 0.5 0.25 0.5 0.25 0.25 0.5 0.125 1.0 1.0 0.0 0.0 0.0103719665
1 1 1 1 0.5 0.5 0.5 1 0.125 0.25 0.0 0.0 1.0 1.0 0.0103842447
1 1 0.5 0.5 0.25 0.5 1 1 0.5 0.5 0.0 1.0 0.0 0.0 0.1475964121
0.5 0.25 0.5 0.5 0.25 1 0.25 1 0.125 0.5 0.0 1.0 0.0 0.0 0.0222050328
1 0.25 0.5 0.25 1 0.5 1 1 0.25 0.125 0.0 0.0 1.0 0.0 0.0177812414
1 1 1 0.5 0.25 0.5 1 1 1 0.125 0.0 1.0 1.0 0.0 0.2689602926
0.125 0.25 1 0.5 0.5 0.25 0.25 0.25 0.125 0.125 0.0 1.0 0.0 1.0 0.0289212962
0.25 0.25 1 0.5 0.25 0.25 0.5 1 0.125 0.25 1.0 1.0 1.0 0.0 0.0165486322
0.5 0.5 1 0.25 1 0.25 0.5 0.25 0.125 0.25 0.0 1.0 0.0 0.0 0.0393852331
0.125 0.5 1 0.25 0.25 0.5 0.25 0.25 0.125 1 0.0 1.0 0.0 0.0 0.0116989205
0.5 0.25 0.5 1 0.25 0.5 1 0.25 0.25 0.125 0.0 0.0 1.0 1.0 0.0096536948
1 0.5 0.5 0.25 0.25 1 0.25 0.25 0.5 0.5 1.0 0.0 1.0 1.0 0.2285700254
0.25 1 0.5 0.25 0.25 0.25 0.25 0.25 0.25 0.125 1.0 1.0 0.0 1.0 0.0621769058
0.5 0.125 1 0.25 0.5 0.25 0.25 1 1 0.125 1.0 0.0 1.0 1.0 0.0215727081
1 1 1 0.25 0.5 0.25 0.5 1 1 1 1.0 1.0 0.0 1.0 0.277013463
0.5 0.5 1 0.5 0.25 0.5 0.25 0.25 0.125 0.25 0.0 1.0 1.0 0.0 0.0145491352
0.25 0.5 0.5 0.25 0.25 0.5 0.5 1 0.125 0.125 0.0 1.0 1.0 0.0 0.011739283
0.5 1 1 0.25 0.25 0.5 0.25 0.25 0.25 0.5 0.0 1.0 0.0 1.0 0.2798466459
0.25 1 1 0.25 1 0.25 1 1 0.5 0.25 1.0 1.0 0.0 1.0 0.0166728245
0.25 1 0.5 0.25 0.5 1 0.25 0.25 0.125 1 1.0 0.0 1.0 1.0 0.0098670831
1 0.125 1 0.5 0.5 0.25 0.5 0.25 0.5 0.125 0.0 0.0 1.0 1.0 0.0261432492
0.125 1 0.5 0.5 0.25 0.25 0.25 0.25 0.125 1 1.0 0.0 1.0 0.0 0.018957964
1 0.5 1 0.5 0.25 0.25 1 0.25 1 0.25 1.0 0.0 0.0 1.0 0.0754344404
0.25 1 1 1 0.25 1 0.5 1 0.125 1 0.0 0.0 0.0 0.0 0.0181600281
1 1 1 1 0.25 1 0.25 0.25 0.5 1 1.0 1.0 0.0 0.0 0.120283407
1 0.5 1 0.25 1 0.25 0.5 1 1 0.25 0.0 1.0 0.0 0.0 0.0240995278
1 1 1 1 1 1 1 0.25 0.125 0.5 0.0 1.0 1.0 0.0 0.0114647218
0.25 0.125 0.5 0.25 0.5 0.5 0.5 0.25 0.25 0.125 0.0 0.0 0.0 0.0 0.0242547682
1 0.5 1 0.5 0.25 0.25 1 0.25 1 0.125 1.0 1.0 1.0 1.0 0.0759995156
1 1 1 0.25 0.5 0.25 1 0.25 0.125 0.25 1.0 1.0 0.0 1.0 0.2102540963
1 1 0.5 0.25 0.5 0.25 1 0.25 0.25 0.25 0.0 0.0 0.0 1.0 0.1647113714
1 1 1 0.25 0.5 1 0.5 1 0.125 1 1.0 1.0 0.0 0.0 0.142125716
0.5 1 1 1 0.25 0.25 0.5 1 0.125 1 1.0 1.0 1.0 1.0 0.0121366985
1 1 0.5 0.5 0.25 0.25 0.25 0.25 0.125 0.125 0.0 1.0 0.0 0.0 0.1388905275
1 0.25 0.5 0.25 1 0.5 0.5 0.25 0.125 0.125 1.0 0.0 1.0 1.0 0.0142672094
1 0.5 0.5 0.25 0.5 1 0.25 1 0.5 0.125 0.0 1.0 0.0 1.0 0.0686721663
1 0.25 0.5 0.25 0.25 0.5 0.25 0.25 0.5 0.25 0.0 1.0 1.0 1.0 0.0528935268
0.25 0.5 1 0.5 0.5 1 0.5 1 0.125 0.25 1.0 0.0 1.0 0.0 0.0129284248
1 0.125 1 0.25 0.25 0.25 0.25 0.25 1 0.25 0.0 1.0 0.0 1.0 0.0241449804
